,Country,Indicator,Sex,Year,Element,Source,Unit,Value,Flag Description,Continent
34,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Household income and expenditure survey,%,38.9,Figure from international organizations,Europe
35,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Household income and expenditure survey,%,37.3,Figure from international organizations,Europe
36,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Household income and expenditure survey,%,36.3,Figure from international organizations,Europe
37,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,34.8,Figure from international organizations,Europe
38,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,35.3,Figure from international organizations,Europe
39,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,33.6,Figure from international organizations,Europe
40,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,31.3,Figure from international organizations,Europe
41,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,51.5,Figure from international organizations,Europe
42,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,49.6,Figure from international organizations,Europe
43,Armenia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,52.4,Figure from international organizations,Europe
56,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,5.2,Figure from international organizations,Europe
57,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,4.9,Figure from international organizations,Europe
58,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,4.7,Figure from international organizations,Europe
59,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,4.6,Figure from international organizations,Europe
60,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,4.8,Figure from international organizations,Europe
61,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
62,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,4.3,Figure from international organizations,Europe
63,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
64,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
65,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
66,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
67,Austria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
68,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,38.2,Figure from international organizations,Europe
69,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,37.9,Figure from international organizations,Europe
70,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,37.7,Figure from international organizations,Europe
71,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,37.1,Figure from international organizations,Europe
72,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,36.8,Figure from international organizations,Europe
73,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,36.4,Figure from international organizations,Europe
74,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,36.3,Figure from international organizations,Europe
75,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,36.4,Figure from international organizations,Europe
76,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,36.3,Figure from international organizations,Europe
77,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,36.0,Figure from international organizations,Europe
78,Azerbaijan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,36.3,Figure from international organizations,Europe
80,Bahrain,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Official estimates,%,1.1,Figure from international organizations,Asia
81,Bahrain,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Population census,%,1.1,Figure from international organizations,Asia
82,Bangladesh,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,47.3,Figure from international organizations,Asia
83,Bangladesh,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,45.1,Figure from international organizations,Asia
84,Bangladesh,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,42.7,Figure from international organizations,Asia
85,Bangladesh,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,40.6,Figure from international organizations,Asia
96,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,9.7,Figure from international organizations,Europe
97,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,10.7,Figure from international organizations,Europe
98,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,11.3,Figure from international organizations,Europe
99,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,11.1,Figure from international organizations,Europe
100,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,10.9,Figure from international organizations,Europe
101,Belarus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Official estimates,%,9.7,Figure from international organizations,Europe
102,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
103,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
104,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
105,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
106,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
107,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
108,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
109,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
110,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
111,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,0.9,Figure from international organizations,Europe
112,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,0.9,Figure from international organizations,Europe
113,Belgium,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,0.9,Figure from international organizations,Europe
123,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,59.6,Figure from international organizations,Asia
124,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,60.1,Figure from international organizations,Asia
125,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,62.2,Figure from international organizations,Asia
126,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,56.3,Figure from international organizations,Asia
127,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,56.7,Figure from international organizations,Asia
128,Bhutan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,58.0,Figure from international organizations,Asia
129,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,19.7,Figure from international organizations,Europe
130,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,19.6,Figure from international organizations,Europe
131,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,20.6,Figure from international organizations,Europe
132,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,18.9,Figure from international organizations,Europe
133,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,17.1,Figure from international organizations,Europe
134,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,17.9,Figure from international organizations,Europe
135,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,18.0,Figure from international organizations,Europe
136,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,18.9,Figure from international organizations,Europe
137,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,15.7,Figure from international organizations,Europe
138,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,18.0,Figure from international organizations,Europe
139,Bosnia and Herzegovina,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,12.0,Figure from international organizations,Europe
154,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,6.8,Figure from international organizations,Europe
155,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,6.8,Figure from international organizations,Europe
156,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,6.4,Figure from international organizations,Europe
157,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,6.7,Figure from international organizations,Europe
158,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,7.0,Figure from international organizations,Europe
159,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,6.9,Figure from international organizations,Europe
160,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,6.8,Figure from international organizations,Europe
161,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,7.0,Figure from international organizations,Europe
162,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,6.6,Figure from international organizations,Europe
163,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,6.6,Figure from international organizations,Europe
164,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,6.6,Figure from international organizations,Europe
165,Bulgaria,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,6.3,Figure from international organizations,Europe
168,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Household income and expenditure survey,%,54.8,Figure from international organizations,Asia
169,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Household income and expenditure survey,%,56.5,Figure from international organizations,Asia
170,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Household income and expenditure survey,%,49.5,Figure from international organizations,Asia
171,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Household income and expenditure survey,%,46.0,Figure from international organizations,Asia
172,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Household income and expenditure survey,%,42.5,Figure from international organizations,Asia
173,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Household income and expenditure survey,%,37.5,Figure from international organizations,Asia
174,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Household income and expenditure survey,%,38.2,Figure from international organizations,Asia
175,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,33.2,Figure from international organizations,Asia
176,Cambodia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,39.9,Figure from international organizations,Asia
203,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,5.2,Figure from international organizations,Asia
204,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,5.1,Figure from international organizations,Asia
205,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,5.0,Figure from international organizations,Asia
206,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,5.0,Figure from international organizations,Asia
207,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,5.0,Figure from international organizations,Asia
208,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,5.0,Figure from international organizations,Asia
209,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,32.3,Figure from international organizations,Asia
210,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,31.6,Figure from international organizations,Asia
211,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,30.7,Figure from international organizations,Asia
212,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,29.6,Figure from international organizations,Asia
213,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,28.4,Figure from international organizations,Asia
214,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Official estimates,%,36.7,Figure from international organizations,Asia
215,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Official estimates,%,34.8,Figure from international organizations,Asia
216,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Official estimates,%,33.6,Figure from international organizations,Asia
217,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Official estimates,%,31.4,Figure from international organizations,Asia
218,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Official estimates,%,29.5,Figure from international organizations,Asia
219,China,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Official estimates,%,28.3,Figure from international organizations,Asia
245,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,14.2,Figure from international organizations,Europe
246,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,14.6,Figure from international organizations,Europe
247,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,12.2,Figure from international organizations,Europe
248,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,10.8,Figure from international organizations,Europe
249,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,9.5,Figure from international organizations,Europe
250,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,9.2,Figure from international organizations,Europe
251,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,7.6,Figure from international organizations,Europe
252,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,7.0,Figure from international organizations,Europe
253,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,6.2,Figure from international organizations,Europe
254,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,6.2,Figure from international organizations,Europe
255,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,6.4,Figure from international organizations,Europe
256,Croatia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,6.8,Figure from international organizations,Europe
262,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
263,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
264,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,2.9,Figure from international organizations,Europe
265,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,3.1,Figure from international organizations,Europe
266,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
267,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,4.0,Figure from international organizations,Europe
268,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.6,Figure from international organizations,Europe
269,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
270,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,2.2,Figure from international organizations,Europe
271,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,2.4,Figure from international organizations,Europe
272,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,2.7,Figure from international organizations,Europe
273,Cyprus,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,2.8,Figure from international organizations,Europe
274,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
275,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,2.4,Figure from international organizations,Europe
276,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,2.6,Figure from international organizations,Europe
277,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,2.6,Figure from international organizations,Europe
278,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
279,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
280,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,2.3,Figure from international organizations,Europe
281,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,2.1,Figure from international organizations,Europe
282,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,2.2,Figure from international organizations,Europe
283,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,2.2,Figure from international organizations,Europe
284,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,2.1,Figure from international organizations,Europe
285,Denmark,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,2.0,Figure from international organizations,Europe
332,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,4.2,Figure from international organizations,Europe
333,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
334,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
335,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,4.3,Figure from international organizations,Europe
336,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
337,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
338,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
339,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.5,Figure from international organizations,Europe
340,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.3,Figure from international organizations,Europe
341,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.2,Figure from international organizations,Europe
342,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,3.0,Figure from international organizations,Europe
343,Estonia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,2.7,Figure from international organizations,Europe
348,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
349,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,4.2,Figure from international organizations,Europe
350,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,4.1,Figure from international organizations,Europe
351,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,4.1,Figure from international organizations,Europe
352,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,4.2,Figure from international organizations,Europe
353,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,4.2,Figure from international organizations,Europe
354,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
355,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
356,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
357,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
358,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,3.6,Figure from international organizations,Europe
359,Finland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,4.1,Figure from international organizations,Europe
360,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,2.9,Figure from international organizations,Europe
361,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,2.9,Figure from international organizations,Europe
362,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,2.9,Figure from international organizations,Europe
363,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,3.0,Figure from international organizations,Europe
364,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,2.8,Figure from international organizations,Europe
365,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,2.7,Figure from international organizations,Europe
366,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,2.8,Figure from international organizations,Europe
367,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,2.6,Figure from international organizations,Europe
368,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
369,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,2.5,Figure from international organizations,Europe
370,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,2.3,Figure from international organizations,Europe
371,France,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,2.4,Figure from international organizations,Europe
374,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Household survey,%,48.0,Figure from international organizations,Europe
375,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Household survey,%,48.5,Figure from international organizations,Europe
376,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Household survey,%,46.9,Figure from international organizations,Europe
377,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Household survey,%,47.1,Figure from international organizations,Europe
378,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Household survey,%,45.9,Figure from international organizations,Europe
379,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Household survey,%,43.9,Figure from international organizations,Europe
380,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Household survey,%,43.7,Figure from international organizations,Europe
381,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,43.1,Figure from international organizations,Europe
382,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,38.9,Figure from international organizations,Europe
